company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
Eaton Corporation plc HQ,104,,global_hq_rollup,Eatonc,22,"United States, United Kingdom, China, France, Canada …","North America, EMEA, Asia-Pacific, Latin America","Industrial, Electronics, Automotive, Consumer Products, Life Sciences","Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
Akzo Nobel Nederland BV,93,,global_hq_rollup,Akzono,28,"United Kingdom, China, Germany, France, South Korea …","EMEA, Asia-Pacific, Latin America, North America","Industrial, Consumer Products, Food & Beverage, Life Sciences","Customer, Former Customer, Bill-To",,True,False,2020-10-31,2025-10-03,0
The Unilever Group,87,,global_hq_rollup,Unilev,34,"United States, Pakistan, Argentina, India, United Arab Emirates …","EMEA, Asia-Pacific, North America, Latin America","Food & Beverage, Consumer Products, Industrial",Customer,,False,False,2020-10-31,2025-10-14,0
Lear Corporation,86,,global_hq_rollup,"Learco, Iautom",22,"India, United States, China, Thailand, Mexico …","Asia-Pacific, EMEA, North America, Latin America",Automotive,"Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-11-21,0
Philips Electronics Nederland B.V.,56,,global_hq_rollup,Philip,17,"Netherlands, China, Singapore, United States, Hong Kong …","Asia-Pacific, EMEA, North America, Latin America","Consumer Products, Electronics, Industrial, Life Sciences","Customer, Bill-To, Former Customer",C,True,False,2020-10-31,2025-10-03,0
General Electric Company,52,,global_hq_rollup,Genera,18,"United States, United Kingdom, France, China, Singapore …","Asia-Pacific, EMEA, North America","Electronics, Life Sciences, Industrial, Consumer Products, Automotive","Customer, Former Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
Nokia Oyj,52,,global_hq_rollup,Alcate,28,"Netherlands, United States, Thailand, China, Poland …","EMEA, Asia-Pacific, Latin America, North America","Electronics, Consumer Products",Customer,,False,False,2020-10-31,2025-10-03,0
Saint-Gobain SA,51,,global_hq_rollup,Saintg,10,"United States, France, China, Germany, Japan …","North America, EMEA, Asia-Pacific, Latin America","Industrial, Automotive, Consumer Products, Electronics, Other","Customer, Bill-To, Former Customer",Enterprise,False,False,2020-10-31,2025-10-03,0
Mondelez International,42,,global_hq_rollup,Mondel,30,"Egypt, Ukraine, Morocco, Russian Federation, United Kingdom …","EMEA, Asia-Pacific, North America","Food & Beverage, Life Sciences","Customer, Former Customer",C,False,False,2020-10-31,2025-10-03,0
"PepsiCo, Inc.",42,"PepsiCo, Inc. | Pepsico Inc.",global_hq_rollup,Pepsic,13,"United States, Mexico, Brazil, Canada, Uruguay …","North America, Latin America, EMEA, Asia-Pacific","Food & Beverage, Consumer Products","Customer, Former Customer, Bill-To",C,False,False,2020-10-31,2025-10-28,0
Avery Dennison,42,,global_hq_rollup,Averyd,10,"United States, China, Hong Kong, Belgium, Netherlands …","North America, Asia-Pacific, EMEA","Consumer Products, Industrial","Customer, Bill-To, Former Customer, Prospect",,True,False,2020-10-31,2025-10-14,0
Caterpillar HQ,38,,global_hq_rollup,Caterp,10,"United States, United Kingdom, Mexico, Belgium, Poland …","North America, EMEA, Latin America, Asia-Pacific","Industrial, Automotive","Customer, Bill-To, Former Customer",Enterprise,False,False,2020-10-31,2025-12-07,0
Magna International Inc,36,,global_hq_rollup,Magnac,14,"China, United Kingdom, United States, Mexico, Czech Republic …","EMEA, Asia-Pacific, North America, Latin America","Automotive, Industrial","Customer, Former Customer, Bill-To",,False,False,2020-10-31,2025-10-14,0
Yanfeng Automotive Trim,35,,global_hq_rollup,Yautom,12,"China, United States, Germany, Portugal, Italy …","EMEA, Asia-Pacific, North America, Latin America","Automotive, Industrial","Customer, Former Customer, Bill-To",B,True,False,2020-10-31,2025-11-09,0
Schlumberger Limited,31,,global_hq_rollup,Schlum,8,"United States, France, Netherlands, Norway, China …","EMEA, North America, Asia-Pacific, Latin America","Industrial, Consumer Products, Other, Electronics","Customer, Former Customer, Bill-To",C,False,False,2020-10-31,2025-12-06,0
Johnson & Johnson,28,,global_hq_rollup,"Johnso, Shockw",6,"United States, France, China, Canada, Germany …","North America, EMEA, Asia-Pacific",Life Sciences,"Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Freudenberg Performance Materials Holding GmbH,28,,global_hq_rollup,Freude,6,"United States, Mexico, Czech Republic, United Kingdom, India …","North America, EMEA, Asia-Pacific, Latin America","Automotive, Industrial, Consumer Products","Customer, Former Customer",,False,False,2020-10-31,2025-11-15,0
Adient Limited,27,,global_hq_rollup,Adient,12,"Brazil, Germany, China, Japan, United States …","EMEA, Latin America, Asia-Pacific, North America","Automotive, Industrial","Customer, Former Customer",,False,False,2020-10-31,2025-10-03,0
ZF Friedrichshafen AG,27,,global_hq_rollup,Trwaut,8,"China, Germany, United States, Mexico, Poland …","Asia-Pacific, EMEA, North America, Latin America",Automotive,"Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-10-14,0
Mars Incorporated HQ,26,,global_hq_rollup,Marsef,17,"Australia, China, Indonesia, Brazil, Thailand …","Asia-Pacific, Latin America, EMEA, North America","Food & Beverage, Consumer Products","Customer, Former Customer",A,False,False,2020-10-31,2025-12-07,0
Stanley Black & Decker,26,,global_hq_rollup,Blacka,17,"United States, United Kingdom, China, Peru, Australia …","North America, Latin America, Asia-Pacific, EMEA","Consumer Products, Industrial, Food & Beverage","Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-12-04,0
"MiTek Industries, Inc.",24,,global_hq_rollup,Miteki,13,"United States, United Kingdom, Australia, South Africa, Sweden …","EMEA, North America, Asia-Pacific, Latin America","Industrial, Consumer Products","Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-10-14,0
"China Aviation Automotive Systems Holding Co.,LTD",24,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Customer,,False,False,2021-08-20,2025-10-14,0
"Cargill, Inc.",24,"Cargill Inc. | Cargill, Inc.",global_hq_rollup,Cargil,9,"United States, Chile, Argentina, Mexico, United Kingdom …","North America, Latin America, EMEA","Food & Beverage, Other","Customer, Bill-To",,False,False,2020-10-31,2025-10-03,0
Webasto AG,24,,global_hq_rollup,Webast,12,"China, Germany, United States, France, Italy …","EMEA, Asia-Pacific, North America","Automotive, Other",Customer,,False,False,2020-10-31,2025-10-14,0
Thales SA,24,,global_hq_rollup,Thales,10,"France, Netherlands, United Kingdom, Belgium, Spain …","EMEA, Latin America, Asia-Pacific","Electronics, Industrial, Consumer Products, Automotive","Customer, Bill-To",,False,False,2020-10-31,2025-10-31,0
Pfizer Inc.,22,,global_hq_rollup,Pfizer,11,"Ireland, Australia, Singapore, United Kingdom, New Zealand …","Asia-Pacific, EMEA, North America","Life Sciences, Food & Beverage","Customer, Former Customer",,False,False,2020-10-31,2025-10-03,0
Moog Inc.,22,,global_hq_rollup,Moogin,15,"United States, Germany, United Kingdom, India, China …","EMEA, Asia-Pacific, North America, Latin America","Electronics, Industrial, Life Sciences","Customer, Former Customer, Bill-To",A,False,False,2020-10-31,2025-10-14,0
Deloitte & Touche,22,,site_name,,3,"United States, Canada, Taiwan","North America, Asia-Pacific",,"Partner, Customer",,False,False,2020-10-31,2024-11-22,0
Abbott Laboratories (HQ),22,,global_hq_rollup,Abbott,14,"United States, United Kingdom, Belgium, India, Sweden …","EMEA, North America, Asia-Pacific","Life Sciences, Food & Beverage","Customer, Former Customer",C,False,True,2020-10-31,2025-11-29,0
Sanofi SA,21,,global_hq_rollup,Sanofi,12,"United States, Brazil, France, United Kingdom, Australia …","EMEA, Latin America, North America, Asia-Pacific",Life Sciences,"Customer, Former Customer, Bill-To",C,False,True,2020-10-31,2025-12-07,0
International Automotive -Components Group N.A. Inc.,21,,global_hq_rollup,Iautom,5,"Mexico, United States, India, Germany, Czech Republic","Latin America, EMEA, North America, Asia-Pacific",Automotive,"Customer, Bill-To, Former Customer",A,False,False,2020-10-31,2025-12-07,0
Amphenol Corporation,21,,global_hq_rollup,Amphen,9,"China, United States, India, Indonesia, United Kingdom …","Asia-Pacific, North America, EMEA","Electronics, Automotive, Industrial, Other",Customer,,False,False,2020-10-31,2025-10-03,0
Emerson Electric Co.,21,,global_hq_rollup,Emerso,11,"United States, Mexico, South Korea, Italy, Canada …","North America, EMEA, Latin America, Asia-Pacific","Industrial, Electronics","Customer, Bill-To, Former Customer",,False,False,2020-10-31,2025-10-14,0
Tenneco Inc.,21,,global_hq_rollup,Federa,10,"United States, United Kingdom, South Africa, Brazil, Thailand …","EMEA, North America, Latin America, Asia-Pacific","Automotive, Industrial","Customer, Bill-To, Former Customer",A,False,False,2020-10-31,2025-12-07,0
"Johnson Controls, Inc.",21,"Johnson Controls Inc | Johnson Controls Inc. | Johnson Controls, Inc.",global_hq_rollup,Jcontr,11,"United States, China, Italy, Mexico, Brazil …","North America, EMEA, Asia-Pacific, Latin America","Automotive, Electronics, Industrial","Customer, Former Customer, Bill-To",,False,False,2020-10-31,2025-12-06,0
