sku,product,category,region,channel,unit_price,units_sold,revenue,in_stock,launched
WID-101,Widget Mini,Widgets,North America,Online,1.95,908,1770.60,true,2025-12-01
WID-102,Widget Compact,Widgets,Latin America,Reseller,3.17,2332,7392.44,true,2023-05-12
WID-103,Widget Standard,Widgets,Latin America,Reseller,7.28,463,3370.64,true,2024-09-08
WID-104,Widget Plus,Widgets,EMEA,Direct,5.12,58,296.96,true,2023-01-15
WID-105,Widget Pro,Widgets,North America,Reseller,3.76,0,0.00,false,2023-01-06
WID-106,Widget Max,Widgets,Asia-Pacific,Distributor,2.26,866,1957.16,true,2023-02-08
WID-107,Widget XL,Widgets,EMEA,Distributor,3.80,395,1501.00,true,2023-05-17
GAD-108,Gadget Mini,Gadgets,  EMEA  ,Reseller,29.95,58,1737.10,true,2024-09-20
GAD-109,Gadget Compact,Gadgets,North America,Distributor,38.05,24,913.20,true,2024-03-22
GAD-110,Gadget Standard,Gadgets,Latin America,Online,42.39,446,18905.94,true,2025-09-17
GAD-111,Gadget Plus,Gadgets,Asia-Pacific,Direct,45.42,4,181.68,true,2025-04-08
GAD-112,Gadget Pro,Gadgets,EMEA,Distributor,19.24,113,2174.12,true,2025-03-16
GAD-113,Gadget Max,Gadgets,Asia-Pacific,Distributor,14.20,,,true,2025-02-17
GAD-114,Gadget XL,Gadgets,EMEA,Reseller,13.95,300,4185.00,true,2025-02-02
GIZ-115,Gizmo Mini,Gizmos,Asia-Pacific,Distributor,6.81,13,88.53,true,2024-10-02
GIZ-116,Gizmo Compact,Gizmos,Asia-Pacific,Direct,8.76,15,131.40,true,2023-04-11
GIZ-117,Gizmo Standard,Gizmos,EMEA,Online,23.58,0,0.00,false,2025-09-01
GIZ-118,Gizmo Plus,Gizmos,Latin America,Online,18.03,1622,29244.66,true,2024-02-25
GIZ-119,Gizmo Pro,Gizmos,Asia-Pacific,Distributor,4.79,0,0.00,false,2023-02-22
GIZ-120,"Gizmo ""Pro""",Gizmos,EMEA,Reseller,4.77,310,1478.70,true,2023-04-13
GIZ-121,Gizmo XL,Gizmos,North America,Direct,21.39,27,577.53,true,2024-05-19
ACC-122,Cable Mini,Accessories,Latin America,Online,3.12,316,985.92,true,2023-03-26
ACC-123,Cable Compact,Accessories,Latin America,Online,2.97,0,0.00,false,2025-12-27
ACC-124,"Cable, braided",Accessories,Asia-Pacific,Online,5.22,115,600.30,true,2025-02-10
ACC-125,Cable Plus,Accessories,North America,Reseller,2.05,219,448.95,true,2024-05-09
ACC-126,Cable Pro,Accessories,Latin America,Distributor,2.40,919,2205.60,true,2023-07-07
ACC-127,Cable Max,Accessories,North America,Distributor,1.84,0,0.00,false,2025-11-28
ACC-128,Cable XL,Accessories,EMEA,Reseller,5.93,57,338.01,true,2023-06-02
MOD-129,Module Mini,Modules,EMEA,Reseller,49.79,93,4630.47,true,2023-10-08
MOD-130,Module Compact,Modules,North America,Distributor,34.20,2033,69528.60,true,2024-11-14
MOD-131,Module Standard,Modules,Latin America,Direct,33.71,2261,76218.31,true,2024-03-19
MOD-131,Module Standard,Modules,Latin America,Direct,33.71,2261,76218.31,true,2024-03-19
MOD-133,Module Pro,Modules,Latin America,Online,56.45,0,0.00,false,2023-01-28
MOD-134,Module Max,Modules,Asia-Pacific,Distributor,82.98,823,68292.54,true,2024-11-24
MOD-135,Module XL,Modules,EMEA,Direct,63.48,1826,115914.48,true,2024-12-27
SEN-136,Sensor Mini,Sensors,North America,Reseller,19.38,0,0.00,false,2025-05-01
SEN-137,Sensor Compact,Sensors,Asia-Pacific,Direct,18.87,22,415.14,true,2023-10-18
SEN-138,Sensor Standard,Sensors,Latin America,Direct,9.37,0,0.00,false,2025-03-09
SEN-139,Sensor Plus,Sensors,Latin America,Reseller,8.91,233,2076.03,true,2025-09-13
SEN-140,Sensor Pro,Sensors,Latin America,Reseller,13.10,344,4506.40,true,2024-05-03
SEN-141,Sensor Max,Sensors,Latin America,Distributor,34.11,1773,60477.03,true,2023-06-06
SEN-142,Sensor XL,Sensors,Asia-Pacific,Reseller,23.21,623,14459.83,true,2025-06-17
